area,use,road,road_1,road_2,road_3,road_4,commute_bicycle,transport,sidewalk,lifestyle,university,population,gender,density
종로구,501504,31.6,4.2,10.4,6.9,10.1,6.8,7.08,6.09,5.92,7223,153789,94.2,6431
중구,308897,22.4,4.2,7.5,0,10.7,1.8,7.37,6.18,5.96,4366,131787,94.8,13231
용산구,322645,33,2,10.6,0,20.4,2.3,7.12,6.13,5.83,7866,237285,92.6,10852
성동구,569590,27.2,1.7,15.3,2,8.2,2.6,7.29,6.34,5.96,12304,292672,95.1,17359
광진구,650755,47.7,0.2,42.6,0.3,4.6,3.7,7.32,6.14,5.83,13667,352627,93.2,20666
동대문구,524203,37.7,2.8,7.5,0,27.4,2.3,7.32,6.02,5.86,14320,352006,97.6,24762
중랑구,376491,9.8,3.7,6,0,0,1.3,7.09,5.98,5.83,14039,391885,97.4,21188
성북구,410203,14.5,5.1,6.7,2.4,0.4,1.6,7.48,6.24,5.95,19675,440142,93.1,17909
강북구,256388,8.7,0,3.2,5.5,0,5.7,7.18,6.14,5.97,11771,302563,94.9,12820
도봉구,297934,12.9,1.4,11.5,0,0,3.4,7.1,6.01,5.83,12990,319373,94.8,15465
노원구,743016,43.7,2.6,27.9,13.2,0,4.1,7.19,6.3,5.96,26016,514946,92.9,14530
은평구,401454,44,0,39.4,4.6,0,1.6,7.13,6.14,5.91,19177,477173,91.7,16061
서대문구,339875,31.2,0,7.7,1.8,21.7,0.8,7.51,6.35,6.02,13374,315659,91.6,17908
마포구,803541,69.4,6.2,14.2,9.4,39.6,4.1,7.43,6.23,5.96,13877,378686,88.8,15878
양천구,694663,55.6,21.9,23.4,0,10.4,3,7.15,5.92,5.86,20303,450487,96.1,25882
강서구,1320989,68.3,32.2,36.1,0,0,2.7,7.26,6.02,5.86,21771,579768,92.7,13986
구로구,524849,26.6,1.8,23.9,0,1,3.4,7.41,6.08,5.9,14943,421163,97.2,20933
금천구,223391,9.2,3.2,6,0,0,2.3,7.4,6.08,5.91,8262,244891,102,18808
영등포구,1090571,63.3,4.2,7.3,20,31.8,2.5,7.22,6,5.95,11836,400908,97.4,16331
동작구,329071,14.3,0,13.6,0,0.8,1.4,7.33,6.31,5.95,15533,394364,93.7,24113
관악구,437638,27.7,4.7,19.6,0,3.4,2.1,7.36,6.04,5.87,18836,499449,100.9,16891
서초구,500214,40.8,2.1,34.6,4.1,0,1.6,7.34,6.17,6.1,16821,416167,91.5,8858
강남구,420684,98.6,8.2,87.4,3,0,4.4,7.16,6.39,6.08,23019,537800,91.7,13616
송파구,1122539,97.2,19.2,76.2,1.8,0,3.1,7.42,6.36,6.02,26941,663965,93.1,19599
강동구,513485,74.1,17.5,56,0.6,0,4.2,7.04,5.97,5.88,15751,466472,96.3,18970
